ID,UNIFORMITY,PCT_DUPLICATE,TI_TV_RATIO,TOTAL_PF_READS,PCT_ALIGNED,MEDIAN_FRAGMENT_LENGTH,MEAN_COVERAGE_DEPTH,PCT_Q30,PCT_ON_MANIFEST,R1_MEAN_ERROR,R2_MEAN_ERROR,GC_DROPOUT,AT_DROPOUT
150827_M03063_0053_000000000-AERUW,91.3,44.4,3.1,33795060,98.6,204,235.7,95,84.1,0.19,0.32,1.81,4.8
150831_M01602_0189_000000000-AHUB3,99.7,41.7,5.8,4758505,98.8,238,863.6,93.7,2.7,0.22,0.42,0.37,6.52
150831_M03063_0054_000000000-AHU9G,99.4,26.6,7,1999392,99.4,230,332.2,96.8,2.6,0.17,0.22,0.27,9.15
150903_M01602_0190_000000000-AHUBE,99.8,28.3,4.7,2967523,99.1,240,549.1,96.3,2.7,0.2,0.3,0.47,7.3
150904_M03063_0055_000000000-AEPW6,88,51.4,3.3,35628451,98.3,192,236.3,95.4,85.4,0.23,0.31,1.55,14.97
150914_M01602_0191_000000000-AHU51,99.7,31.2,8.9,4092274,98.8,238,673.5,94.4,2.5,0.2,0.42,0.24,8.69
150918_M01602_0192_000000000-AJB5J,99.7,27.5,6,3173242,98.8,252,572,96,2.7,0.19,0.32,0.37,7.45
150918_M03063_0056_000000000-AET0K,86.7,50.7,3.4,20933609,98.7,189,136.8,97.9,86.9,0.17,0.23,1.35,7.75
150918_M03448_0028_000000000-AJHTW,87.4,46.9,3.3,15910736,98.1,194,102.9,97.2,85.4,0.23,0.24,1.19,10.9
150925_M01602_0193_000000000-AJ4WL,99.7,21.7,6,2321785,98.4,235,411.6,93.2,2.7,0.23,0.44,0.29,7.59
151002_M01602_0194_000000000-AJGB0,99.7,28.3,5.8,2369873,98.8,235,403,93.1,2.6,0.23,0.45,0.29,7.68
151009_M01602_0195_000000000-AJ4Y6,99.8,28.6,5.5,3166528,98.9,246,567.6,96.2,2.7,0.19,0.31,0.35,7.14
151019_M01602_0196_000000000-AJCBF,98.3,31.7,0.5,2645345,98.6,230,924.7,92.8,0.9,0.24,0.45,9.41,0
151021_M03063_0058_000000000-AJCAE,98.5,34.8,1.2,3053592,98.7,227,639,93.3,1.8,0.22,0.42,1.08,8.74
151021_M03448_0031_000000000-AJCH4,97.9,41.1,1.3,2683813,98.2,204,627.1,92.1,1.9,0.24,0.41,3.34,4.37
151023_M03063_0059_000000000-AJVFC,99.7,30.7,6.6,3987864,99.2,243,670.3,97,2.5,0.16,0.25,0.28,7.47
151030_M03063_0060_000000000-AJW69,99.7,31.6,5.2,3077097,98.4,228,583.3,92.3,2.9,0.25,0.53,0.52,5.69
151106_M03063_0061_000000000-AJY05,99.7,33.1,5.9,3937253,99.2,243,668,96.8,2.6,0.16,0.27,0.27,7.26
151113_M01602_0197_000000000-AJVLK,99.4,32.5,8.3,3153229,99,264,503.9,96.1,2.4,0.19,0.34,0.32,9.26
151120_M03063_0062_000000000-AF01Y,99.7,30.6,5.7,2885233,99.2,258,527,94.4,2.7,0.21,0.43,0.4,7.92
151230_M03063_0063_000000000-AL05T,99.6,29.4,6.4,2527507,99.4,261,405.2,95.5,2.4,0.2,0.36,0.26,10.16
160108_M03063_0064_000000000-AKYHM,99.5,31.6,7.5,2624883,99.3,265,396.8,95.2,2.3,0.19,0.4,0.27,11.13
160115_M01602_0200_000000000-ALL3J,99.7,30.3,6.7,2442564,99.1,255,402.6,92.9,2.5,0.24,0.49,0.26,10.42
160122_M03448_0041_000000000-AL6RT,99.3,25.7,5.8,2053178,99.2,249,328.8,95,2.4,0.19,0.37,0.3,11.48
160129_M03448_0042_000000000-ALAVG,99.4,28.9,5.2,2541872,97.8,252,365.6,89.6,2.2,0.31,0.75,0.26,11.8
160203_M03448_0043_000000000-AF0BP,90.1,41.5,3.2,27614352,98.1,210,185,93.9,82.4,0.23,0.38,1.95,11.67
